episode,variant,net_pnl,abs_pnl_sum,positive_pnl_sum,top1_abs_pnl_share,top3_abs_pnl_share,top5_abs_pnl_share,best_window_bars,best_window_sum_pnl,best_window_share_of_net_pnl,best_window_share_of_positive_pnl,best_window_start,best_window_end,localized_positive_pnl_flag
bybit_usdc_depeg_2023,gated,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,,,2023-03-10 00:00:00+00:00,2023-03-10 00:09:00+00:00,False
bybit_usdc_depeg_2023,naive,-0.03860991466142464,1.492615799824509,0.7270029425815422,0.01758522372407799,0.042103035428621954,0.05790788045836806,10,0.0294962104341693,,0.04057233981671394,2023-03-11 07:13:00+00:00,2023-03-11 07:22:00+00:00,False
march_vol_2024_binance,gated,-0.0013465587139091973,0.031074499242342256,0.014863970264216528,0.00983511638927584,0.02621926607709633,0.04099201861915462,10,0.00033490063947252507,,0.02253103535054586,2024-03-12 04:42:00+00:00,2024-03-12 04:51:00+00:00,False
march_vol_2024_binance,naive,0.001976947738934292,0.07165604449025977,0.03681649611459703,0.009034750621600396,0.022210837711673277,0.03266723167833505,10,0.0007052486404785532,0.3567361071763737,0.01915577838486742,2024-03-12 15:03:00+00:00,2024-03-12 15:12:00+00:00,False
okx_usdc_depeg_2023,gated,0.00012018580241822125,0.03619792940559153,0.018159057604004877,0.037945624653523025,0.10603119385675755,0.1513090111357986,10,0.0011430673816460678,9.510835378611812,0.06294750567859704,2023-03-11 14:31:00+00:00,2023-03-11 14:40:00+00:00,False
okx_usdc_depeg_2023,naive,0.25967208599337543,1.0293472799867105,0.644509682990043,0.07957003135516164,0.1322902705424916,0.16285051743559092,10,0.0966242468869095,0.3721010154683107,0.14991899956978963,2023-03-11 07:47:00+00:00,2023-03-11 07:56:00+00:00,False
yen_followthrough_2024_binance,gated,-0.0005961336546555839,0.014562055048964344,0.00698296069715438,0.008993509338691462,0.025567392153731695,0.04073672662115017,10,0.00012948305027052497,,0.018542715029642155,2024-08-08 09:22:00+00:00,2024-08-08 09:31:00+00:00,False
yen_followthrough_2024_binance,naive,0.000855587995544855,0.051085374993982025,0.025970481494763442,0.009234681460695436,0.02636383014554081,0.040496427572026365,10,0.00044087104717833374,0.515284283409772,0.01697585188273189,2024-08-07 04:06:00+00:00,2024-08-07 04:15:00+00:00,False
yen_unwind_2024_binance,gated,-0.00022529075363528374,0.043682026349407654,0.021728367797886186,0.010138387086333174,0.028780750718661385,0.041374150134631006,10,0.0005644237388708029,,0.025976352394297745,2024-08-05 13:38:00+00:00,2024-08-05 13:47:00+00:00,False
yen_unwind_2024_binance,naive,0.004775243024317883,0.0423888287554285,0.023582035889873187,0.03614042448384025,0.06940682819012131,0.08761464018606042,10,0.0017089639467573999,0.35787999439076,0.07246888923153912,2024-08-05 13:38:00+00:00,2024-08-05 13:47:00+00:00,False
