split_id,entry_k,t_widen_quantile,chi_widen_quantile,stress_quantile,recovery_quantile,train_n_episodes,train_score,train_mean_sharpe_full_raw,train_std_sharpe_full_raw,train_min_sharpe_full_raw,train_mean_pnl_net,train_mean_active_ratio,train_mean_turnover
1,0.5,0.97,0.97,0.99,0.6,1.0,0.20480157123811019,0.01309867176134515,0.0,0.01309867176134515,0.007668115979070601,0.3625,28.6
1,0.5,0.95,0.97,0.9,0.6,1.0,0.08524605708246027,0.006937020200112111,0.0,0.006937020200112111,0.003132361475293927,0.22708333333333333,19.1
1,0.75,0.95,0.99,0.99,0.6,1.0,0.0683698109363856,0.006528044225790913,0.0,0.006528044225790913,0.002473670668423787,0.20173611111111112,11.900000000000002
1,1.25,0.97,0.97,0.95,0.8,1.0,0.004849040530775212,0.0006928946006832551,0.0,0.0006928946006832551,0.00016624583720367827,0.05486111111111111,5.700000000000001
1,1.25,0.95,0.95,0.9,0.8,1.0,0.004444840759364431,0.0006496918189529222,0.0,0.0006496918189529222,0.00015180595761646036,0.05486111111111111,5.5
2,0.5,0.97,0.97,0.99,0.6,2.0,0.10231918928616825,0.007041279580774822,0.006057392180570327,0.0009838874002044947,0.00387169031002144,0.19288194444444445,16.85
2,0.5,0.95,0.97,0.9,0.6,2.0,0.043311638653497415,0.003960453800158303,0.0029765663999538083,0.0009838874002044947,0.0016038130581331027,0.1251736111111111,12.100000000000001
2,0.75,0.95,0.99,0.99,0.6,2.0,0.03336889993996893,0.0032640221128954565,0.0032640221128954565,0.0,0.0012368353342118936,0.10086805555555556,5.950000000000001
2,1.25,0.97,0.97,0.95,0.8,2.0,0.002337908440302199,0.00034644730034162754,0.00034644730034162754,0.0,8.312291860183913e-05,0.027430555555555555,2.8500000000000005
2,1.25,0.95,0.95,0.9,0.8,2.0,0.0021412089023131005,0.0003248459094764611,0.0003248459094764611,0.0,7.590297880823018e-05,0.027430555555555555,2.75
3,0.5,0.97,0.97,0.99,0.6,3.0,0.04604900785256663,-0.001874755040165682,0.013544470461278373,-0.01970682428204669,0.0020523952203220764,0.256712962962963,18.633333333333336
3,0.5,0.95,0.97,0.9,0.6,3.0,0.006256195554034815,-0.003688123438284912,0.011086392525693496,-0.018985277915171343,0.000508636684949724,0.225,15.966666666666669
3,0.75,0.95,0.99,0.99,0.6,3.0,0.0037279950602722572,-0.0034432564649515772,0.009852803259851405,-0.016857813620645645,0.00038537809360746745,0.1953703703703704,11.766666666666666
3,1.25,0.97,0.97,0.95,0.8,3.0,-0.014908169352600838,-0.00526115081774394,0.007935384707909436,-0.016476347053915076,-0.00030652689431518153,0.11828703703703702,5.333333333333333
3,1.25,0.95,0.95,0.9,0.8,3.0,-0.017030033368053997,-0.005584659026980464,0.008361509857552837,-0.017403668899894316,-0.000374199875067413,0.11828703703703702,5.800000000000001
4,0.5,0.97,0.97,0.99,0.6,4.0,0.02611039786767564,-0.0037396564319392175,0.012166473674012877,-0.01970682428204669,0.001315666908724723,0.3765625,20.275000000000002
4,0.75,0.95,0.99,0.99,0.6,4.0,-0.0014123840357642033,-0.0037959218760115635,0.008554613827314369,-0.016857813620645645,0.0001808876518830381,0.33211805555555557,14.149999999999999
4,0.5,0.95,0.97,0.9,0.6,4.0,-0.0035664453728829473,-0.0052707068450683885,0.009984727594861747,-0.018985277915171343,0.00016801773483603513,0.3397569444444445,17.3
4,1.25,0.97,0.97,0.95,0.8,4.0,-0.017525032989059598,-0.00606822087597491,0.007012976121702614,-0.016476347053915076,-0.0003881427233063614,0.26163194444444443,9.3
4,1.25,0.95,0.95,0.9,0.8,4.0,-0.021049910783101707,-0.006912422663945091,0.007597697292627653,-0.017403668899894316,-0.000489522551839988,0.26163194444444443,10.175
5,0.5,0.97,0.97,0.99,0.6,5.0,0.01828328922005595,-0.0034912958082103283,0.01089335565039693,-0.01970682428204669,0.0009799169576346204,0.3845833333333334,24.340000000000003
5,0.5,0.95,0.97,0.9,0.6,5.0,-0.004957989732251547,-0.004660103905867032,0.009013721313215772,-0.018985277915171343,7.822178007677714e-05,0.3475694444444445,19.080000000000002
5,0.75,0.95,0.99,0.99,0.6,5.0,-0.006960572483043107,-0.0043281476617856255,0.007725166104088236,-0.016857813620645645,-2.80453318094169e-05,0.34965277777777776,18.119999999999997
5,1.25,0.97,0.97,0.95,0.8,5.0,-0.019356570470761895,-0.006255555942484977,0.006283776330792985,-0.016476347053915076,-0.00046120281782314684,0.2881944444444444,12.8
5,1.25,0.95,0.95,0.9,0.8,5.0,-0.024443638553184616,-0.007493526826516364,0.006894253513713569,-0.017403668899894316,-0.0006090619339295944,0.2876388888888889,13.060000000000002
